idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9
83,-933.32556,10,0,0,1751737,0,0,140.86401,0,0,8821884,-5162.153970274389,-1639.202397913612,6801.356370658523,-87855.59028641898,-18571.5348952479,363535.18051585276,94.131775,224.50903,   522,217,   489,4799,   3902,3146,   1296,1424,   2390,2349,   
84,-369.45306,10,0,0,300456,0,0,141.26843,0,0,843680.56,-1133.293502691854,-571.7150764530616,1705.008577104024,-14914.549704959476,-5645.240013428729,47382.08459773541,40.369267,359.76617,   7942,7930,   7207,7213,   7027,7176,   6806,6808,   2740,2737,   
85,-284.0745,10,0,0,1227075,0,0,137.11325,0,0,5370449.5,-1547.6991280775567,-994.9618684284487,2542.6609963071323,-23078.026629146985,-13933.727414255345,117547.99270111551,81.23935,362.30392,   3949,3949,   7733,7556,   3187,4217,   8338,7514,   5785,4059,   
86,-414.50824,10,0,0,1431498,0,0,136.19247,0,0,3796349.5,-1983.5486619047024,-1010.0493161318407,2993.5979795353387,-34726.56170593718,-15292.602469115931,170995.72400287268,83.77774,297.60138,   2495,2451,   3325,5018,   6098,6116,   7762,7720,   6526,4672,   
87,-158.11429,10,0,0,229523,0,0,384.46008,0,0,3729000.5,-1080.7983544215233,-542.321847594935,1623.1202016245531,-20642.434615836675,-7807.612741768515,80376.03409996285,130.5539,272.04547,   8028,7299,   6905,6925,   8232,5579,   1814,5593,   5124,2675,   
88,-727.5707,10,0,0,1337169,0,0,121.3064,0,0,7166547.5,-3444.8617774140316,-1068.2482499119278,4513.110025974986,-59528.87141647076,-14380.79387315901,317104.09628328425,81.81868,302.85446,   7539,7626,   597,402,   2463,2366,   1939,6380,   3905,3903,   
89,-568.6127,10,0,0,595169,0,0,180.67548,0,0,2221486,-3567.739621185373,-1325.534114270547,4893.273732304619,-63550.59878426309,-18770.447142206172,281816.2157965492,111.7643,157.04471,   2071,1928,   4,3324,   1931,2036,   5940,5968,   3800,1457,   
90,-162.17036,10,0,0,150029,0,0,200.57225,0,0,757238.1,-1086.5690324305904,-504.3498554389904,1590.9188876463495,-17445.924364525046,-7379.674452631217,78386.01962080714,107.57775,216.93492,   8201,7836,   7417,7317,   2814,2754,   7339,7479,   1721,1695,   
91,-179.25731,10,0,0,147466,0,0,315.38605,0,0,927846.6,-720.0144724176289,-281.9792007257389,1001.9936736575578,-17084.255257602737,-5034.382906437428,38602.03955403563,95.30577,90.59742,   4889,4888,   4328,4339,   4776,4835,   5018,3302,   5534,5491,   
92,-692.98517,10,0,0,254437,0,0,263.97656,0,0,1322653.2,-3538.3614687274767,-860.178172235925,4398.539644088802,-63903.987853105835,-11230.371223305498,191747.18044816834,92.21552,356.832,   3926,1184,   299,115,   7745,7779,   1251,6699,   4574,4554,   
93,-367.6226,10,0,0,409785,0,0,150.1463,0,0,1270438.2,-2332.9021569973884,-684.0889681644566,3016.9911244613304,-43998.18284866713,-8831.506105976789,173511.86067637356,119.68303,154.80354,   2534,2281,   3823,3029,   3362,4928,   4748,4859,   167,6640,   
94,-361.0736,10,0,0,254017,0,0,157.03383,0,0,602728.1,-2161.4277932974837,-794.2826594733313,2955.7104533124575,-40170.801808312484,-12231.71023952173,143211.41671730578,111.25377,200.71231,   4245,1781,   5686,1640,   746,157,   4386,4438,   2170,2080,   
